;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Indicadores de atendimento e aprendizagem VAAR para o Fundeb 2026;;;;;;
;;;;;;
UF;Ente Federado;"Código
IBGE";"Evoluiu
Atendiment";"Indicador
Atendimento";"Evoluiu
Aprendizagem";"Indicador
Aprendizagem"
RS;SAO JOSE DAS MISSOES;4318457;Não;0,943103;Não;1,04733
RS;SAO JOSE DO HERVAL;4318465;Sim;0,996575;Sim;0,712694
RS;SAO JOSE DO HORTENCIO;4318481;Sim;0,997706;Não;2,89
RS;SAO JOSE DO INHACORA;4318499;Sim;0,998062;Não;1,768878
RS;SAO JOSE DO NORTE;4318507;Sim;0,987305;Sim;1,452999
RS;SAO JOSE DO OURO;4318606;Sim;0,988807;Sim;2,57
RS;SAO JOSE DO SUL;4318614;Sim;0,995671;Não;3,15
RS;SAO JOSE DOS AUSENTES;4318622;Sim;0,9889;Não;1,117691
RS;SAO LEOPOLDO;4318705;Não;0,96977;Não;1,343297
RS;SAO LOURENCO DO SUL;4318804;Sim;0,992997;Não;1,773498
RS;SAO LUIZ GONZAGA;4318903;Sim;0,986829;Sim;1,508761
RS;SAO MARCOS;4319000;Sim;0,985198;Não;1,417197
RS;SAO MARTINHO;4319109;Sim;0,993825;Sim;2,78
RS;SAO MARTINHO DA SERRA;4319125;Sim;1,00;Não;0,00
RS;SAO MIGUEL DAS MISSOES;4319158;Sim;0,986853;Sim;1,277127
RS;SAO NICOLAU;4319208;Sim;0,989426;Não;0,41287
RS;SAO PAULO DAS MISSOES;4319307;Sim;0,995475;Sim;2,15
RS;SAO PEDRO DA SERRA;4319356;Sim;0,998547;Sim;4,83
RS;SAO PEDRO DAS MISSOES;4319364;Sim;0,982323;Não;0,00
RS;SAO PEDRO DO BUTIA;4319372;Sim;0,994152;Sim;1,509733
RS;SAO PEDRO DO SUL;4319406;Sim;0,993156;Sim;1,836522
RS;SAO SEBASTIAO DO CAI;4319505;Sim;0,98537;Não;0,947268
RS;SAO SEPE;4319604;Sim;0,992113;Não;1,246825
RS;SAO VALENTIM;4319703;Sim;0,99734;Sim;3,51
RS;SAO VALENTIM DO SUL;4319711;Sim;1,00;Não;0,00
RS;SAO VALERIO DO SUL;4319737;Sim;1,00;Sim;1,522305
RS;SAO VENDELINO;4319752;Sim;1,00;Sim;4,81
RS;SAO VICENTE DO SUL;4319802;Sim;0,990253;Sim;2,43
RS;SAPIRANGA;4319901;Sim;0,988958;Não;2,12
RS;SAPUCAIA DO SUL;4320008;Sim;0,995405;Não;1,610986
RS;SARANDI;4320107;Sim;0,992876;Não;1,352167
RS;SEBERI;4320206;Sim;0,99107;Sim;1,041592
RS;SEDE NOVA;4320230;Sim;0,994169;Sim;1,574916
RS;SEGREDO;4320263;Sim;0,990945;Sim;1,313567
RS;SELBACH;4320305;Sim;0,997561;Não;0,00
RS;SENADOR SALGADO FILHO;4320321;Sim;0,997608;Sim;3,29
RS;SENTINELA DO SUL;4320354;Sim;0,987847;Sim;2,08
RS;SERAFINA CORREA;4320404;Sim;0,993873;Não;1,494999
RS;SERIO;4320453;Não;0,882813;Sim;3,20
RS;SERTAO;4320503;Sim;0,992007;Sim;2,81
RS;SERTAO SANTANA;4320552;Sim;0,987413;Sim;1,814905
RS;SETE DE SETEMBRO;4320578;Sim;0,995968;Não;0,00
RS;SEVERIANO DE ALMEIDA;4320602;Sim;1,00;Não;1,011725
RS;SILVEIRA MARTINS;4320651;Sim;0,987377;Não;0,760339
RS;SINIMBU;4320677;Sim;0,990058;Sim;1,952646
RS;SOBRADINHO;4320701;Sim;0,984788;Não;1,531332
RS;SOLEDADE;4320800;Sim;0,9882;Sim;2,14
RS;TABAI;4320859;Sim;0,991931;Sim;1,156432
RS;TAPEJARA;4320909;Sim;0,996373;Sim;2,01
RS;TAPERA;4321006;Sim;0,986552;Sim;2,54
RS;TAPES;4321105;Sim;0,986797;Sim;2,09
RS;TAQUARA;4321204;Sim;0,993658;Sim;1,670431
RS;TAQUARI;4321303;Sim;0,980569;Sim;1,456795
RS;TAQUARUCU DO SUL;4321329;Sim;1,00;Não;1,852496
RS;TAVARES;4321352;Sim;0,992611;Não;0,436348
RS;TENENTE PORTELA;4321402;Sim;0,994672;Não;0,985204
RS;TERRA DE AREIA;4321436;Sim;0,986738;Não;1,443172
RS;TEUTONIA;4321451;Sim;0,994099;Não;1,904208
RS;TIO HUGO;4321469;Sim;0,992708;Sim;3,21
RS;TIRADENTES DO SUL;4321477;Sim;0,98653;Não;0,668993
RS;TOROPI;4321493;Sim;0,994475;Não;2,52
RS;TORRES;4321501;Sim;0,992318;Não;1,920899
RS;TRAMANDAI;4321600;Sim;0,97616;Não;1,391855
RS;TRAVESSEIRO;4321626;Sim;0,994012;Não;0,00
RS;TRES ARROIOS;4321634;Sim;1,00;Não;0,00
RS;TRES CACHOEIRAS;4321667;Sim;0,996248;Sim;2,38
RS;TRES COROAS;4321709;Sim;0,99096;Não;1,9264
RS;TRES DE MAIO;4321808;Sim;0,992954;Não;1,754003
RS;TRES FORQUILHAS;4321832;Sim;0,977778;Sim;0,885225
RS;TRES PALMEIRAS;4321857;Sim;0,991702;Sim;1,122847
RS;TRES PASSOS;4321907;Sim;0,99623;Sim;2,60
RS;TRINDADE DO SUL;4321956;Sim;0,988706;Não;1,080609
RS;TRIUNFO;4322004;Sim;0,989511;Sim;2,47
RS;TUCUNDUVA;4322103;Sim;0,990566;Não;0,903452
RS;TUNAS;4322152;Sim;0,994505;Sim;0,100781
RS;TUPANCI DO SUL;4322186;Sim;1,00;Sim;4,71
RS;TUPANCIRETA;4322202;Sim;0,993483;Não;1,315807
RS;TUPANDI;4322251;Sim;0,993464;Não;3,02
RS;TUPARENDI;4322301;Sim;0,991363;Não;2,53
RS;TURUCU;4322327;Sim;0,99653;Sim;2,06
RS;UBIRETAMA;4322343;Sim;1,00;Não;0,00
RS;UNIAO DA SERRA;4322350;Sim;1,00;Não;0,00
RS;UNISTALDA;4322376;Não;0,891975;Não;0,672375
RS;URUGUAIANA;4322400;Sim;0,988701;Não;0,930464
RS;VACARIA;4322509;Sim;0,994465;Sim;1,237001
RS;VALE DO SOL;4322533;Sim;0,986553;Sim;1,220704
RS;VALE REAL;4322541;Sim;0,993262;Não;1,798056
RS;VALE VERDE;4322525;Sim;0,993548;Sim;1,687823
RS;VANINI;4322558;Sim;0,99697;Não;0,00
RS;VENANCIO AIRES;4322608;Sim;0,985164;Sim;2,33
RS;VERA CRUZ;4322707;Sim;0,992312;Sim;1,867254
RS;VERANOPOLIS;4322806;Sim;0,993831;Sim;2,57
RS;VESPASIANO CORREA;4322855;Não;0,983193;Não;0,00
RS;VIADUTOS;4322905;Sim;0,997076;Sim;4,25
RS;VIAMAO;4323002;Sim;0,98036;Não;1,407416
RS;VICENTE DUTRA;4323101;Sim;0,994048;Sim;1,693302
RS;VICTOR GRAEFF;4323200;Sim;0,998423;Não;2,20
RS;VILA FLORES;4323309;Sim;0,997481;Sim;3,19
RS;VILA LANGARO;4323358;Sim;1,00;Não;1,458316
RS;VILA MARIA;4323408;Sim;0,998316;Sim;1,971117
RS;VILA NOVA DO SUL;4323457;Sim;0,99;Sim;1,212075
RS;VISTA ALEGRE;4323507;Sim;0,997159;Não;0,00
RS;VISTA ALEGRE DO PRATA;4323606;Sim;1,00;Sim;2,85
RS;VISTA GAUCHA;4323705;Sim;0,982611;Sim;3,71
RS;VITORIA DAS MISSOES;4323754;Sim;0,993827;Não;0,00
RS;WESTFALIA;4323770;Sim;0,998677;Não;2,89
RS;XANGRI-LA;4323804;Sim;0,984161;Não;1,220808
