;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Indicadores de atendimento e aprendizagem VAAR para o Fundeb 2026;;;;;;
;;;;;;
UF;Ente Federado;"Código
IBGE";"Evoluiu
Atendiment";"Indicador
Atendimento";"Evoluiu
Aprendizagem";"Indicador
Aprendizagem"
RS;CARAA;4304713;Sim;0,998503;Sim;2,22
RS;CARAZINHO;4304705;Sim;0,982799;Não;1,135289
RS;CARLOS BARBOSA;4304804;Sim;0,993375;Sim;3,39
RS;CARLOS GOMES;4304853;Sim;1,00;Não;0,00
RS;CASCA;4304903;Sim;0,99577;Não;2,92
RS;CASEIROS;4304952;Sim;0,992695;Sim;1,396934
RS;CATUIPE;4305009;Sim;0,995536;Sim;3,11
RS;CAXIAS DO SUL;4305108;Não;0,983937;Não;1,581899
RS;CENTENARIO;4305116;Sim;1,00;Não;0,00
RS;CERRITO;4305124;Sim;0,99093;Não;0,78543
RS;CERRO BRANCO;4305132;Sim;0,988626;Não;1,564698
RS;CERRO GRANDE;4305157;Não;0,968358;Não;0,00
RS;CERRO GRANDE DO SUL;4305173;Sim;0,99481;Sim;0,471398
RS;CERRO LARGO;4305207;Sim;0,993392;Não;1,660327
RS;CHAPADA;4305306;Sim;0,987471;Não;1,537024
RS;CHARQUEADAS;4305355;Sim;0,990013;Sim;2,33
RS;CHARRUA;4305371;Sim;0,986486;Não;1,550734
RS;CHIAPETTA;4305405;Sim;0,990964;Sim;1,759617
RS;CHUI;4305439;Sim;0,991379;Não;0,642695
RS;CHUVISCA;4305447;Sim;0,983878;Não;0,880965
RS;CIDREIRA;4305454;Sim;0,976914;Não;0,921609
RS;CIRIACO;4305504;Sim;0,998031;Não;0,00
RS;COLINAS;4305587;Sim;0,991379;Sim;2,86
RS;COLORADO;4305603;Sim;0,997674;Não;0,00
RS;CONDOR;4305702;Sim;0,990601;Não;1,251103
RS;CONSTANTINA;4305801;Sim;0,991948;Não;1,131603
RS;COQUEIRO BAIXO;4305835;Sim;1,00;Não;0,00
RS;COQUEIROS DO SUL;4305850;Sim;0,989305;Não;0,00
RS;CORONEL BARROS;4305871;Sim;0,995868;Não;2,29
RS;CORONEL BICACO;4305900;Sim;0,992318;Não;0,811179
RS;CORONEL PILAR;4305934;Sim;0,996403;Não;2,30
RS;COTIPORA;4305959;Sim;0,995743;Sim;2,29
RS;COXILHA;4305975;Sim;0,993693;Sim;1,942231
RS;CRISSIUMAL;4306007;Sim;0,997314;Não;1,966375
RS;CRISTAL;4306056;Sim;0,996753;Sim;1,547679
RS;CRISTAL DO SUL;4306072;Sim;1,00;Não;0,00
RS;CRUZ ALTA;4306106;Sim;0,984914;Sim;1,760994
RS;CRUZALTENSE;4306130;Sim;0,997126;Não;0,636555
RS;CRUZEIRO DO SUL;4306205;Não;0,969109;Não;1,763198
RS;DAVID CANABARRO;4306304;Sim;1,00;Não;0,00
RS;DERRUBADAS;4306320;Sim;0,996923;Sim;2,06
RS;DEZESSEIS DE NOVEMBRO;4306353;Sim;0,993377;Não;0,00
RS;DILERMANDO DE AGUIAR;4306379;Sim;0,995161;Sim;2,17
RS;DOIS IRMAOS;4306403;Sim;0,997818;Sim;2,35
RS;DOIS IRMAOS DAS MISSOES;4306429;Sim;0,986957;Não;0,00
RS;DOIS LAJEADOS;4306452;Sim;0,995833;Não;0,00
RS;DOM FELICIANO;4306502;Sim;0,974337;Não;0,732811
RS;DOM PEDRITO;4306601;Sim;0,985359;Não;0,973595
RS;DOM PEDRO DE ALCANTARA;4306551;Sim;1,00;Não;0,00
RS;DONA FRANCISCA;4306700;Sim;0,996875;Não;0,00
RS;DOUTOR MAURICIO CARDOSO;4306734;Sim;0,995807;Sim;1,90576
RS;DOUTOR RICARDO;4306759;Sim;0,992188;Não;0,00
RS;ELDORADO DO SUL;4306767;Não;0,952732;Sim;1,040326
RS;ENCANTADO;4306809;Sim;0,993332;Não;1,678704
RS;ENCRUZILHADA DO SUL;4306908;Sim;0,989333;Sim;1,298058
RS;ENGENHO VELHO;4306924;Sim;0,993902;Não;0,00
RS;ENTRE RIOS DO SUL;4306957;Sim;0,977622;Não;0,638042
RS;ENTRE-IJUIS;4306932;Sim;0,994444;Não;1,745872
RS;EREBANGO;4306973;Sim;1,00;Sim;3,79
RS;ERECHIM;4307005;Sim;0,993623;Sim;2,33
RS;ERNESTINA;4307054;Sim;0,995665;Não;0,894847
RS;ERVAL GRANDE;4307203;Sim;0,997802;Sim;2,30
RS;ERVAL SECO;4307302;Sim;0,993419;Sim;2,92
RS;ESMERALDA;4307401;Sim;0,993557;Sim;0,970824
RS;ESPERANCA DO SUL;4307450;Sim;1,00;Sim;2,81
RS;ESPUMOSO;4307500;Sim;0,986885;Sim;1,38071
RS;ESTACAO;4307559;Sim;0,989607;Não;2,75
RS;ESTANCIA VELHA;4307609;Sim;0,997168;Não;2,08
RS;ESTEIO;4307708;Sim;0,992217;Sim;1,701344
RS;ESTRELA;4307807;Não;0,989898;Não;1,741378
RS;ESTRELA VELHA;4307815;Sim;1,00;Sim;2,11
RS;EUGENIO DE CASTRO;4307831;Sim;0,994253;Sim;1,156096
RS;FAGUNDES VARELA;4307864;Sim;0,989474;Sim;4,65
RS;FARROUPILHA;4307906;Sim;0,996736;Não;2,37
RS;FAXINAL DO SOTURNO;4308003;Sim;0,995455;Sim;2,74
RS;FAXINALZINHO;4308052;Sim;0,997143;Não;1,429349
RS;FAZENDA VILANOVA;4308078;Sim;0,993103;Sim;2,44
RS;FELIZ;4308102;Sim;0,996534;Não;2,63
RS;FLORES DA CUNHA;4308201;Sim;0,989529;Não;2,16
RS;FLORIANO PEIXOTO;4308250;Sim;0,995968;Não;0,00
RS;FONTOURA XAVIER;4308300;Sim;0,995185;Sim;1,631969
RS;FORMIGUEIRO;4308409;Sim;0,993377;Não;0,482509
RS;FORQUETINHA;4308433;Sim;1,00;Sim;2,08
RS;FORTALEZA DOS VALOS;4308458;Sim;0,992806;Sim;3,42
RS;FREDERICO WESTPHALEN;4308508;Sim;0,986726;Sim;1,798653
RS;GARIBALDI;4308607;Sim;0,996707;Sim;2,95
RS;GARRUCHOS;4308656;Sim;0,984064;Sim;0,721396
RS;GAURAMA;4308706;Sim;0,993599;Não;2,71
RS;GENERAL CAMARA;4308805;Não;0,972746;Não;0,00
RS;GENTIL;4308854;Sim;1,00;Não;0,00
RS;GETULIO VARGAS;4308904;Sim;0,996702;Sim;3,26
RS;GIRUA;4309001;Sim;0,995268;Sim;1,689893
RS;GLORINHA;4309050;Sim;0,992322;Sim;1,754076
RS;GRAMADO;4309100;Sim;0,986026;Sim;1,927896
RS;GRAMADO DOS LOUREIROS;4309126;Sim;0,985844;Não;0,00
RS;GRAMADO XAVIER;4309159;Sim;0,995327;Não;0,761786
RS;GRAVATAI;4309209;Sim;0,989505;Não;1,343451
RS;GUABIJU;4309258;Sim;1,00;Não;0,00
RS;GUAIBA;4309308;Sim;0,985824;Não;1,432267
RS;GUAPORE;4309407;Sim;0,996451;Sim;2,26
RS;GUARANI DAS MISSOES;4309506;Sim;0,992157;Sim;2,60
RS;HARMONIA;4309555;Sim;0,997863;Sim;3,51
RS;HERVAL;4307104;Sim;0,983422;Não;0,695572
RS;HERVEIRAS;4309571;Sim;0,994389;Não;0,00
RS;HORIZONTINA;4309605;Sim;0,996631;Sim;2,51
RS;HULHA NEGRA;4309654;Sim;0,989376;Não;0,517519
RS;HUMAITA;4309704;Sim;0,997024;Sim;2,89
RS;IBARAMA;4309753;Sim;0,995459;Sim;2,69
RS;IBIACA;4309803;Sim;0,992084;Sim;2,20
RS;IBIRAIARAS;4309902;Sim;0,997512;Sim;2,46
RS;IBIRAPUITA;4309951;Sim;0,99359;Sim;0,464785
RS;IBIRUBA;4310009;Sim;0,99455;Sim;3,17
RS;IGREJINHA;4310108;Sim;0,993556;Não;2,09
RS;IJUI;4310207;Sim;0,998948;Não;2,45
RS;ILOPOLIS;4310306;Sim;0,989226;Sim;2,87
RS;IMBE;4310330;Sim;0,988739;Sim;1,627479
RS;IMIGRANTE;4310363;Sim;0,984684;Sim;1,845866
RS;INDEPENDENCIA;4310405;Sim;0,993985;Não;1,33486
RS;INHACORA;4310413;Sim;0,996466;Sim;1,570538
RS;IPE;4310439;Sim;0,995104;Não;1,507894
RS;IPIRANGA DO SUL;4310462;Sim;0,990362;Sim;4,22
RS;IRAI;4310504;Sim;0,990075;Não;0,00
RS;ITAARA;4310538;Sim;0,987601;Não;1,374602
RS;ITACURUBI;4310553;Não;0,985235;Sim;2,67
