Anexo VI;;;;
Portaria Interministerial MEC/MF nº 14, de 29 de dezembro de 2025;;;;
Redes de Ensino Beneficiadas e Valores Distribuídos - Complementação da União-VAAR Ano de 2026 (art. 16, inciso VIII, da Lei nº 14.113/2020);;;;
;;;;
UF;Ente Federado;Código IBGE;" Coeficientes de distribuição da complementação
da União-VAAR "; Complementação da União-VAAR (R$) 
RS;GENTIL;4308854;0,000009559155;71.943,33
RS;GETULIO VARGAS;4308904;0,000160543146;1.208.266,66
RS;GIRUA;4309001;0,000154517509;1.162.917,01
RS;GLORINHA;4309050;0,000129761800;976.602,62
RS;GRAMADO;4309100;0,000541143953;4.072.713,25
RS;HARMONIA;4309555;0,000074688198;562.112,19
RS;HERVEIRAS;4309571;0,000014708317;110.696,53
RS;HORIZONTINA;4309605;0,000257633600;1.938.980,88
RS;HUMAITA;4309704;0,000063881146;480.777,04
RS;IBIACA;4309803;0,000042493419;319.810,49
RS;IBIRAPUITA;4309951;0,000039810994;299.622,24
RS;IBIRUBA;4310009;0,000184268531;1.386.826,71
RS;ILOPOLIS;4310306;0,000040059552;301.492,92
RS;IMBE;4310330;0,000455962898;3.431.630,6
RS;IMIGRANTE;4310363;0,000038897764;292.749,16
RS;INHACORA;4310413;0,000030358956;228.485,09
RS;IPIRANGA DO SUL;4310462;0,000026080438;196.284,45
RS;IRAI;4310504;0,000038169442;287.267,73
RS;ITACURUBI;4310553;0,000018355145;138.142,99
RS;ITAPUCA;4310579;0,000015599018;117.400,05
RS;ITATI;4310652;0,000032014074;240.941,70
RS;ITATIBA DO SUL;4310702;0,000023131684;174.091,78
RS;IVORA;4310751;0,000004660682;35.076,84
RS;JABOTICABA;4310850;0,000018679414;140.583,47
RS;JACUTINGA;4310900;0,000036344451;273.532,63
RS;JAGUARI;4311106;0,00007686836;578.520,36
RS;JARI;4311130;0,000039154086;294.678,27
RS;JOIA;4311155;0,000049776814;374.626,18
RS;JULIO DE CASTILHOS;4311205;0,000173139800;1.303.070,57
RS;LAGOA BONITA DO SUL;4311239;0,000022549786;169.712,35
RS;LAGOA DOS TRES CANTOS;4311270;0,000009767766;73.513,36
RS;LAGOA VERMELHA;4311304;0,000196641001;1.479.943,38
RS;LAGOAO;4311254;0,000054315655;408.786,03
RS;MAMPITUBA;4311734;0,00003986617;300.037,5
RS;MARATA;4311791;0,000013807575;103.917,44
RS;MARIANO MORO;4312005;0,000007024688;52.868,63
RS;MARQUES DE SOUZA;4312054;0,000021963889;165.302,82
RS;MATO QUEIMADO;4312179;0,000011746822;88.407,97
RS;MAXIMILIANO DE ALMEIDA;4312203;0,000035445660;266.768,22
RS;MONTAURI;4312351;0,000008132415;61.205,52
RS;MONTE ALEGRE DOS CAMPOS;4312377;0,000052477907;394.954,92
RS;MONTE BELO DO SUL;4312385;0,000034230180;257.620,37
RS;MONTENEGRO;4312401;0,000609199162;4.584.904,8
RS;MORMACO;4312427;0,000015161025;114.103,66
RS;MORRO REDONDO;4312450;0,000060507824;455.389,0
RS;MORRO REUTER;4312476;0,000068795791;517.765,24
RS;MOSTARDAS;4312500;0,000150950858;1.136.073,97
RS;MULITERNO;4312625;0,000003043711;22.907,33
RS;NICOLAU VERGUEIRO;4312674;0,000009701828;73.017,10
RS;NOVA ALVORADA;4312757;0,000016192663;121.867,89
RS;NOVA BASSANO;4312906;0,000049235894;370.555,15
RS;NOVA BOA VISTA;4312955;0,000034552925;260.049,39
RS;NOVA BRESCIA;4313003;0,000014491373;109.063,78
RS;NOVA CANDELARIA;4313011;0,000047340709;356.291,76
RS;NOVA PADUA;4313086;0,000011493879;86.504,29
RS;NOVA PALMA;4313102;0,000014555793;109.548,62
RS;NOVA PRATA;4313300;0,000128112233;964.187,78
RS;NOVA ROMA DO SUL;4313359;0,000035670844;268.462,98
RS;NOVA SANTA RITA;4313375;0,000446835345;3.362.935,54
RS;NOVO BARREIRO;4313490;0,000043280750;325.736,03
RS;NOVO TIRADENTES;4313441;0,000031075844;233.880,47
RS;PAIM FILHO;4313607;0,000019995107;150.485,54
RS;PALMITINHO;4313805;0,000035288029;265.581,87
RS;PANTANO GRANDE;4313953;0,000137577332;1.035.423,24
RS;PARAISO DO SUL;4314027;0,000028801001;216.759,73
RS;PASSA SETE;4314068;0,000045316726;341.059,03
RS;PASSO DO SOBRADO;4314076;0,000057066091;429.486,14
RS;PAULO BENTO;4314134;0,000021368357;160.820,78
RS;PEDRO OSORIO;4314209;0,000057373949;431.803,1
RS;PICADA CAFE;4314423;0,000068970392;519.079,3
RS;PINHAL;4314456;0,000044656917;336.093,23
RS;PINHAL DA SERRA;4314464;0,000027364394;205.947,66
RS;PINHEIRO MACHADO;4314506;0,000058633229;441.280,60
RS;PIRAPO;4314555;0,000005755712;43.318,17
RS;PIRATINI;4314605;0,000057005511;429.030,20
RS;PLANALTO;4314704;0,000057178178;430.329,72
RS;POCO DAS ANTAS;4314753;0,000023661778;178.081,33
RS;PONTE PRETA;4314787;0,000007181255;54.046,97
RS;PORTO LUCENA;4315008;0,000012601783;94.842,51
RS;PORTO MAUA;4315057;0,000022167283;166.833,59
RS;PORTO VERA CRUZ;4315073;0,000006943465;52.257,34
RS;POUSO NOVO;4315131;0,000009559155;71.943,33
RS;PRESIDENTE LUCENA;4315149;0,000041412841;311.677,93
RS;PROGRESSO;4315156;0,000046961393;353.436,99
RS;PROTASIO ALVES;4315172;0,000021654879;162.977,17
RS;PUTINGA;4315206;0,000029230655;219.993,36
RS;QUARAI;4315305;0,000191884657;1.444.146,57
RS;QUINZE DE NOVEMBRO;4315354;0,000057061096;429.448,54
RS;REDENTORA;4315404;0,000063371976;476.944,97
RS;RELVADO;4315453;0,000007799509;58.700,03
RS;RIO DOS INDIOS;4315552;0,000026192865;197.130,6
RS;RIOZINHO;4315750;0,000046063214;346.677,18
RS;ROCA SALES;4315800;0,000097780768;735.909,60
RS;RODEIO BONITO;4315909;0,000076043080;572.309,19
RS;ROLANTE;4316006;0,000281146043;2.115.938,30
RS;ROQUE GONZALES;4316303;0,000056000899;421.469,37
RS;SAGRADA FAMILIA;4316428;0,000013770158;103.635,83
RS;SALDANHA MARINHO;4316436;0,000028571741;215.034,29
RS;SALTO DO JACUI;4316451;0,000090689476;682.539,70
RS;SALVADOR DAS MISSOES;4316477;0,000014316980;107.751,28
RS;SANANDUVA;4316600;0,000141689679;1.066.373,25
RS;SANTA BARBARA DO SUL;4316709;0,000084365566;634.945,2
RS;SANTA CECILIA DO SUL;4316733;0,000027516968;207.095,95
RS;SANTA CLARA DO SUL;4316758;0,000072432762;545.137,52
RS;SANTA CRUZ DO SUL;4316808;0,001069171717;8.046.712,5
RS;SANTANA DA BOA VISTA;4317004;0,000051469761;387.367,50
RS;SANTANA DO LIVRAMENTO;4317103;0,000475498208;3.578.655,63
RS;SANTO ANGELO;4317509;0,000489607701;3.684.845,34
RS;SANTO ANTONIO DA PATRULHA;4317608;0,000350295793;2.636.367,5
RS;SANTO ANTONIO DAS MISSOES;4317707;0,000101916952;767.039,01
RS;SANTO ANTONIO DO PALMA;4317558;0,000020140120;151.576,92
RS;SANTO EXPEDITO DO SUL;4317954;0,000010938336;82.323,21
RS;SAO DOMINGOS DO SUL;4318051;0,000009178691;69.079,91
RS;SAO FRANCISCO DE ASSIS;4318101;0,000141564023;1.065.427,54
RS;SAO JOAO DA URTIGA;4318424;0,000040145282;302.138,13
RS;SAO JORGE;4318440;0,000028895482;217.470,81
RS;SAO JOSE DO NORTE;4318507;0,000254460487;1.915.099,66
RS;SAO JOSE DO OURO;4318606;0,000058841153;442.845,46
RS;SAO JOSE DO SUL;4318614;0,000015997626;120.400,02
RS;SAO LOURENCO DO SUL;4318804;0,000197629426;1.487.382,38
RS;SAO LUIZ GONZAGA;4318903;0,000252305992;1.898.884,67
RS;SAO MARTINHO;4319109;0,000079902678;601.356,98
RS;SAO MARTINHO DA SERRA;4319125;0,000011413916;85.902,48
RS;SAO MIGUEL DAS MISSOES;4319158;0,000081357111;612.303,22
RS;SAO PAULO DAS MISSOES;4319307;0,000072381974;544.755,28
RS;SAO PEDRO DA SERRA;4319356;0,000050035407;376.572,38
RS;SAO PEDRO DAS MISSOES;4319364;0,000010692600;80.473,77
RS;SAO PEDRO DO BUTIA;4319372;0,000022705316;170.882,89
RS;SAO SEPE;4319604;0,000098451098;740.954,58
RS;SAO VALENTIM;4319703;0,000045570365;342.968,0
RS;SAO VALENTIM DO SUL;4319711;0,000006800792;51.183,56
RS;SAO VENDELINO;4319752;0,000031020250;233.462,06
RS;SAO VICENTE DO SUL;4319802;0,000073837858;555.712,43
RS;SEBERI;4320206;0,000106727638;803.244,80
RS;SEDE NOVA;4320230;0,000037580664;282.836,51
RS;SEGREDO;4320263;0,000046772191;352.013,03
RS;SELBACH;4320305;0,000015124811;113.831,11
RS;SENADOR SALGADO FILHO;4320321;0,000024534435;184.649,05
RS;SENTINELA DO SUL;4320354;0,000054415531;409.537,71
RS;SERIO;4320453;0,000007997592;60.190,82
RS;SERTAO;4320503;0,000053649604;403.773,25
RS;SERTAO SANTANA;4320552;0,000067533064;508.261,81
RS;SEVERIANO DE ALMEIDA;4320602;0,000013316235;100.219,6
RS;SINIMBU;4320677;0,000091306598;687.184,23
RS;SOBRADINHO;4320701;0,000076270905;574.023,83
RS;SOLEDADE;4320800;0,000247990609;1.866.406,59
RS;TABAI;4320859;0,000051466253;387.341,1
RS;TAPEJARA;4320909;0,000345421349;2.599.681,84
RS;TAPERA;4321006;0,000085372097;642.520,48
RS;TAPES;4321105;0,000137778671;1.036.938,54
RS;TIO HUGO;4321469;0,000056392955;424.420,03
RS;TIRADENTES DO SUL;4321477;0,000018772796;141.286,28
